Analysis performed between 30 and 68.8
Probe No	x		Period		Mean Height		Hi	H1/3	H1/10	Hmax
65		16.0		1.93978527651	151.894763733	0.0154118702144	159.973134745	171.086656661	171.519368716	
66		16.25		1.93815847037	149.335765526	0.0155083127186	156.730171194	162.155896105	162.84665644	
67		16.5		1.93885856365	147.591260733	0.0155341378721	154.075379339	155.1812951	155.207662804	
68		16.75		1.93799688337	146.850711572	0.0154719716463	150.960702755	153.344860842	153.607475261	
69		17.0		1.93914148172	149.687426446	0.0155752524018	153.22506845	156.119635315	156.263425828	
70		17.25		1.93759727052	151.922504442	0.0155463981556	154.708273888	155.546077089	156.319444895	
71		17.5		1.94107014712	153.281525465	0.0154372506248	156.637551685	158.959382899	159.480440665	
72		17.75		1.94136709893	156.527594205	0.0154688882195	159.637000363	161.913606977	164.720089753	
73		18.0		1.94020705095	157.552765377	0.0155002234154	161.528650467	163.320869639	164.190583975	
74		18.25		1.93933644973	155.851800808	0.0154748483478	161.712653033	163.724727244	164.201284999	
75		18.5		1.93880960772	153.684562666	0.0155071636528	161.223468105	164.577552012	166.396774318	
76		18.75		1.93924097346	150.135631083	0.015499023397	156.829560074	161.973358674	164.263580672	
77		19.0		1.93881355198	147.012681721	0.0154050778955	152.574191014	154.3858415	155.490739227	
78		19.25		1.93897093563	145.877263312	0.0153996755951	150.447634919	152.353108775	153.303650063	
79		19.5		1.94000151857	147.84493407	0.0154183872751	152.725610522	156.535450055	158.03756688	
80		19.75		1.9411638771	150.885351908	0.0153189445969	155.00037402	157.992113406	158.32869359	
81		20.0		1.94090320637	154.657432738	0.0152646995619	156.938748711	157.964742658	158.203470308	
82		20.25		1.9385554011	156.691410234	0.0152505396388	159.5498233	161.470451514	162.336183559	
83		20.5		1.93906855474	155.435652303	0.015150933192	160.44748981	162.004387043	162.638767696	
84		20.75		1.94102680024	154.170506797	0.0150877293758	161.557360083	168.356995656	169.708131322	
85		21.0		1.94019836254	151.490431419	0.0150523520282	159.506767096	168.279506717	168.762332252	
86		21.25		1.93902518914	146.658139881	0.0149854125223	153.998059593	158.41467286	158.920034609	
87		21.5		1.93947731779	142.319302613	0.0149172326836	147.999297482	150.199869589	150.979186217	
88		21.75		1.93773942856	141.544087542	0.0149395432854	146.045749759	147.483201778	148.283871958	
89		22.0		1.93893715009	143.189099796	0.0149771583194	147.086585196	148.716646117	149.246830837	
90		22.25		1.93851686494	145.629935691	0.014948487816	149.008755639	151.132480783	151.907002887	
91		22.5		1.93927325484	147.857320222	0.0148995414868	151.626101284	154.514740431	156.370730896	
92		22.75		1.93901781898	149.812708511	0.0149068502148	154.262749292	156.990303171	158.179817956	
93		23.0		1.9385750109	150.854640915	0.0150167842173	155.496007283	157.037870687	157.803593502	
94		23.25		1.93800839078	150.839737166	0.0151174402525	156.429921512	158.762536316	159.171217945	
