      time,           p [     12.8     0.225         0],           p [    14.08     0.225         0],           p [    15.64     0.225         0],           p [     17.2     0.225         0],           p [    18.76     0.225         0],           p [    20.32     0.225         0],           p [    21.88     0.225         0],           p [    23.44     0.225         0],           p [       25     0.225         0],           p [    26.56     0.225         0],           p [    28.12     0.225         0],           p [    29.68     0.225         0],           p [    31.24     0.225         0],           p [     32.8     0.225         0],           p [    34.36     0.225         0],           p [    35.92     0.225         0],           p [    37.48     0.225         0],           p [    39.04     0.225         0],           p [     40.6     0.225         0],           p [    42.16     0.225         0],           p [    43.72     0.225         0],           p [    45.28     0.225         0]
8.8724e+00,                    2.181582585738925445e+03,                    2.247666819315492376e+03,                    2.249866203658198629e+03,                    2.235935601065374613e+03,                    2.214097773153001981e+03,                    2.237695594164476915e+03,                    2.234520192026440327e+03,                    2.231980918869782272e+03,                    2.246144646225323413e+03,                    2.195271679147559098e+03,                    2.214540617155645577e+03,                    2.198027303726058108e+03,                    2.187135570389511940e+03,                    2.215806604589078688e+03,                    2.211633460118309813e+03,                    2.178827375262359510e+03,                    2.155658539901275617e+03,                    2.203381960890427308e+03,                    2.175540810018484081e+03,                    2.232085978687144689e+03,                    2.211755863406800017e+03,                    2.236156895216965495e+03
8.8880e+00,                    2.179751625121435609e+03,                    2.250000881801269770e+03,                    2.245947457001888324e+03,                    2.231785502857929259e+03,                    2.220098567619319510e+03,                    2.238079175784690051e+03,                    2.231828836557041996e+03,                    2.231668506956582405e+03,                    2.242857592579259745e+03,                    2.195207599493263388e+03,                    2.215751270628862130e+03,                    2.198611914119844187e+03,                    2.186238824382045550e+03,                    2.216797370322686220e+03,                    2.211159584720532166e+03,                    2.179430697044791486e+03,                    2.154597003250807575e+03,                    2.203471992297148063e+03,                    2.168558466310009862e+03,                    2.233879607148556261e+03,                    2.210477327617676565e+03,                    2.234824563146415130e+03
8.9030e+00,                    2.179179090804690532e+03,                    2.252862549763143761e+03,                    2.242152515693001078e+03,                    2.227177991407529134e+03,                    2.225675872305944722e+03,                    2.238240959061721242e+03,                    2.229428823046228899e+03,                    2.231436001077141100e+03,                    2.238961379505799869e+03,                    2.195223046995224195e+03,                    2.216709591728409578e+03,                    2.199232457235620132e+03,                    2.185546935966813635e+03,                    2.217588309158407355e+03,                    2.210838080814072327e+03,                    2.185463616400914816e+03,                    2.154597097027160544e+03,                    2.203361737883969909e+03,                    2.162277824199913994e+03,                    2.235162665054636363e+03,                    2.209416030000230421e+03,                    2.236445711965261125e+03
8.9176e+00,                    2.178908563650714314e+03,                    2.254820394771299561e+03,                    2.238700519620354498e+03,                    2.222500001031818101e+03,                    2.230415866375771657e+03,                    2.238214876883626403e+03,                    2.227523357515095540e+03,                    2.231272673364675029e+03,                    2.234968607763122236e+03,                    2.195335369612331760e+03,                    2.215687290272261635e+03,                    2.200175227984238973e+03,                    2.184595350343990503e+03,                    2.218353183879288281e+03,                    2.210779530319004152e+03,                    2.187354135967723323e+03,                    2.154400088797680382e+03,                    2.203194963306866157e+03,                    2.156456465828585351e+03,                    2.236079815390605745e+03,                    2.208925566141616400e+03,                    2.235100558754188569e+03
8.9319e+00,                    2.178872162111162652e+03,                    2.255986903203427119e+03,                    2.235854668001650225e+03,                    2.218569864058144503e+03,                    2.235406302404475355e+03,                    2.237453003575059029e+03,                    2.225990298011380673e+03,                    2.230766951632177097e+03,                    2.229746324113342780e+03,                    2.195089602890399874e+03,                    2.216507443470467479e+03,                    2.200669609170834519e+03,                    2.183981556491311494e+03,                    2.219129812034741462e+03,                    2.210897878122042130e+03,                    2.189144912643354019e+03,                    2.154854800536988932e+03,                    2.202933125340766310e+03,                    2.152577658194980359e+03,                    2.237234848615820738e+03,                    2.209028170537380902e+03,                    2.233893562613648101e+03
8.9461e+00,                    2.179047193379246892e+03,                    2.256546346846799224e+03,                    2.232746104514943909e+03,                    2.215978855900017606e+03,                    2.239263614510275147e+03,                    2.236373063942363387e+03,                    2.224875496322187701e+03,                    2.230664919831195675e+03,                    2.229373692954185572e+03,                    2.194781842524196691e+03,                    2.216883282120939839e+03,                    2.201151943331680741e+03,                    2.182652408258554260e+03,                    2.219895836902068368e+03,                    2.211036023456549628e+03,                    2.191717345688804926e+03,                    2.154205585753217747e+03,                    2.202715896961760336e+03,                    2.149622763880721777e+03,                    2.238132001683127328e+03,                    2.209262143383776674e+03,                    2.232348676668622829e+03
8.9600e+00,                    2.179147522426152136e+03,                    2.257412669957050184e+03,                    2.230158278841376614e+03,                    2.212031323214120675e+03,                    2.242017126823246144e+03,                    2.234966539519966318e+03,                    2.224296361346079266e+03,                    2.230505700252961105e+03,                    2.226252135018705303e+03,                    2.194196265327482706e+03,                    2.217041549516301984e+03,                    2.201533557502596523e+03,                    2.181829795045232913e+03,                    2.222898931470951993e+03,                    2.211512799490353700e+03,                    2.194643649103143616e+03,                    2.153094992407983227e+03,                    2.202332282216480507e+03,                    2.147443500384965773e+03,                    2.238529803537440785e+03,                    2.210833579966206344e+03,                    2.231203149780805688e+03
8.9739e+00,                    2.179515200769650619e+03,                    2.257466167568801666e+03,                    2.228532533765782318e+03,                    2.208511881554798492e+03,                    2.243383125631200528e+03,                    2.233244627114370815e+03,                    2.224264162545613544e+03,                    2.230320231240661087e+03,                    2.223895236804075466e+03,                    2.194001611408644749e+03,                    2.217524060440102403e+03,                    2.201939726455365417e+03,                    2.181090510695784815e+03,                    2.223263882165239011e+03,                    2.212302389223756109e+03,                    2.194551624788040954e+03,                    2.150114646514415654e+03,                    2.201739371674274935e+03,                    2.146416223289871596e+03,                    2.239210444297737013e+03,                    2.213076691903887422e+03,                    2.230128505738503009e+03
8.9878e+00,                    2.179536035849650943e+03,                    2.256697289528179226e+03,                    2.226521321625617475e+03,                    2.203744878335934573e+03,                    2.244656278869277230e+03,                    2.231015596933384131e+03,                    2.224518060061241158e+03,                    2.229479955468792468e+03,                    2.222032240207171526e+03,                    2.193622441049346889e+03,                    2.217753448265548741e+03,                    2.202098325466682581e+03,                    2.180494854768283858e+03,                    2.223453254726992782e+03,                    2.212923923451157862e+03,                    2.198466469577696444e+03,                    2.148804506081852196e+03,                    2.201100901290606998e+03,                    2.144666734815697509e+03,                    2.238819079058665466e+03,                    2.215603614161069345e+03,                    2.228880036910001309e+03
9.0008e+00,                    2.179881877155217808e+03,                    2.255671291302749978e+03,                    2.226547251145673727e+03,                    2.202314100342819984e+03,                    2.242639450446350111e+03,                    2.228977038378297948e+03,                    2.225127383595679021e+03,                    2.229758260693509783e+03,                    2.221770439693398203e+03,                    2.193802058457767089e+03,                    2.219031979095665520e+03,                    2.203125382102109143e+03,                    2.180848314722146370e+03,                    2.224512594097007423e+03,                    2.214866106861017215e+03,                    2.203105136472614504e+03,                    2.148421468729486151e+03,                    2.201404554817744611e+03,                    2.145824635721302457e+03,                    2.239653338259793600e+03,                    2.219482590119497218e+03,                    2.228404222088417100e+03
